,molecule_chembl_id,canonical_smiles,0,pIC50
2598,CHEMBL4114641,Cc1c(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cc(F)cc(C(F)F)c4)c(F)c3)c2)cnn1C,active,10.511449283499555
2599,CHEMBL4115387,Cn1nncc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cc(F)cc(C(F)F)c3)c(F)c2)c1,active,10.208309350979881
2600,CHEMBL4113849,Cc1c(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cc(F)cc(C(F)F)c4)c(F)c3)c2)cnn1C(F)F,active,10.31695296176115
2601,CHEMBL4109712,Cc1nn(C(F)F)cc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cc(F)cc(C(F)F)c3)c(F)c2)c1,active,10.505845405981557
2602,CHEMBL4112865,Cc1c(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(C(F)F)c4)c(F)c3)c2)cnn1C(F)F,active,10.127843727251706
2603,CHEMBL4115643,Cc1c(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(C(F)F)c4)c(F)c3)c2)cnn1C,active,10.430626090384955
2604,CHEMBL4108955,Cc1nn(C)cc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cccc(C(F)F)c3)c(F)c2)c1,active,10.1505805862031
2605,CHEMBL4111507,Cc1c(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](C)c4cc(F)cc(S(C)(=O)=O)c4)c(F)c3)c2)cnn1C(F)F,active,9.835647144215564
2606,CHEMBL4109028,Cn1nncc1-c1cnc(N)c(-c2ccc(C(=O)N[C@H](CO)c3cccc(C(F)F)c3)c(F)c2)c1,active,10.0301183562535
2607,CHEMBL4111166,NC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CC[C@@H](O)[C@H](F)C3)cnc2N)cc1F)c1cc(F)cc(I)c1,active,11.301029995663981
2608,CHEMBL3920520,Nc1ncc(C2CCOCC2)cc1-c1ccc(C(=O)NCc2ccnnc2)c(F)c1,active,6.419075024324381
2609,CHEMBL3978143,Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@@H](C#CC2CC2)CO)c(F)c1,active,7.071092309756048
2610,CHEMBL4106865,Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2ccccc2)c(F)c1,active,9.226945306635738
2611,CHEMBL4114147,Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(CF)c2)c(F)c1,active,11.0
2612,CHEMBL4112079,Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Cl)c2)c(F)c1,active,10.653647025549361
2613,CHEMBL4114038,C[C@@H](O)[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Cl)c1,active,10.190440285364732
2614,CHEMBL4111016,C[C@@H](O)[C@@H](NC(=O)c1ccc(-c2nc(-c3cnn(C)c3)cnc2N)cc1F)c1cccc(Cl)c1,active,9.088842391260023
2615,CHEMBL4113025,Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(C(F)F)c2)c(F)c1,active,10.681936665037238
2616,CHEMBL4115307,CNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Cl)c1,active,10.844663962534938
2617,CHEMBL4112519,Nc1ncc([C@H]2CC[C@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(C(F)F)c2)c(F)c1,active,10.361510743045363
2618,CHEMBL4107980,NC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CC[C@@H](O)[C@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,10.856985199745905
2619,CHEMBL4108467,Nc1ncc([C@H]2CC[C@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(C(F)F)c2)c(F)c1,active,9.978810700930062
2620,CHEMBL4113556,Nc1ncc([C@H]2CC[C@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(C(F)(F)F)c2)c(F)c1,active,6.728158393463501
2621,CHEMBL4114254,Nc1ncc([C@H]2CC[C@@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(C(F)(F)F)c2)c(F)c1,intermediate,5.978810700930062
2622,CHEMBL4107833,Nc1ncc([C@H]2CC[C@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,active,10.761953896871205
2623,CHEMBL4109456,NC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(I)c1,active,10.958607314841775
2624,CHEMBL4111944,Nc1ncc([C@H]2CC[C@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(I)c2)c(F)c1,active,11.010105436281227
2625,CHEMBL4112411,Nc1ncc([C@H]2CC[C@@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(I)c2)c(F)c1,active,10.0195421077239
2626,CHEMBL4114947,Nc1ncc([C@H]2CC[C@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(I)c2)c(F)c1,active,10.756961951313706
2627,CHEMBL4112672,Nc1ncc([C@H]2CC[C@@H](O)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(I)c2)c(F)c1,active,9.714442690992227
2628,CHEMBL3924033,Nc1ncc(C2CCC(O)CC2)nc1-c1ccc(C(=O)N[C@@H](CO)c2cc(F)cc(Br)c2)c(F)c1,active,10.630784142589857
2629,CHEMBL4109252,NC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CC[C@@H](O)[C@@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,10.987162775294827
2630,CHEMBL3930522,NC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)[C@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,10.712198270069774
2631,CHEMBL4108968,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CC[C@@H](O)[C@@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,10.638272163982407
2632,CHEMBL3970217,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)[C@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,active,10.498940737782249
2633,CHEMBL3923915,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)[C@@H](F)C3)cnc2N)cc1F)c1cc(F)cc(I)c1,active,10.844663962534938
2634,CHEMBL4115371,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@@H]3CC[C@@H](O)[C@H](F)C3)cnc2N)cc1F)c1cc(F)cc(I)c1,active,10.688246138944246
